family,Photobacterium-profundum-SS9,Vibrio-cholerae-2740-80,Vibrio-cholerae-M66-2,Aliivibrio-salmonicida-LFI1238
1125,1,1,1,1
1126,1,1,1,1
1127,1,0,0,1
1128,1,1,1,1
1129,1,1,1,1
1130,1,0,0,1
1131,1,1,1,1
1132,1,1,1,1
1133,2,1,1,1
1134,1,1,1,1
1135,1,0,0,1
1136,1,1,1,1
1137,0,0,0,2
1138,0,1,1,1
1139,1,1,1,1
1140,1,1,1,1
1141,1,0,0,1
1142,1,1,1,1
1143,1,1,1,1
1144,1,1,1,1
1145,1,1,1,1
1146,1,1,1,1
1147,1,1,1,1
1148,1,0,1,1
1149,1,0,0,1
1150,1,1,1,1
1151,1,0,0,1
1152,1,1,1,1
1153,1,0,0,1
1154,0,1,1,1
1155,1,1,1,1
1156,1,1,1,1
1157,1,1,1,1
1158,1,0,1,1
1159,1,1,1,1
1160,2,1,1,1
1161,1,0,1,1
1162,1,0,0,1
1163,1,0,0,1
1164,1,1,1,1
1165,1,1,1,1
1166,1,0,1,1
1167,0,0,0,2
1168,1,1,1,1
1169,1,1,1,1
1170,1,0,0,1
1171,0,1,1,1
1172,1,1,1,1
1173,1,0,0,1
1174,1,1,1,1
1175,1,1,1,1
1176,1,1,1,1
1177,1,1,1,1
1178,1,1,1,1
1179,1,0,0,1
1180,1,0,1,1
1181,0,1,1,1
1182,1,1,1,1
1183,0,1,1,1
1184,2,0,1,1
1185,1,1,1,1
1186,1,1,1,1
1187,1,0,0,1
1188,1,1,1,1
1189,1,1,1,1
1190,1,1,1,1
1191,2,0,0,1
1192,1,0,1,1
1193,1,0,0,1
1194,1,1,1,1
1195,1,1,1,1
1196,1,1,1,1
1197,1,0,0,1
1198,1,1,1,1
1199,1,1,1,1
1200,1,1,1,1
1201,0,1,1,1
1202,1,0,0,1
1203,1,0,1,1
1204,1,1,1,1
1205,1,0,0,1
1206,1,1,1,1
1207,1,1,1,1
1208,1,1,1,1
1209,1,1,1,1
1210,1,1,1,1
1211,1,1,1,1
1212,1,1,1,1
1213,0,0,1,1
1214,1,1,1,1
1215,1,1,1,1
1216,1,1,1,1
1217,1,1,1,1
1218,1,0,1,1
1219,1,1,1,1
1220,1,1,1,1
1221,1,0,0,1
1222,1,1,1,1
1223,1,1,1,1
1224,1,0,0,1
1225,1,1,1,1
1226,1,0,1,1
1227,1,1,1,1
1228,1,1,1,1
1229,0,2,2,1
1230,1,1,1,1
1231,1,1,1,1
1232,0,1,1,1
1233,1,0,0,1
1234,0,1,1,1
1235,1,1,1,1
1236,1,1,1,1
1237,1,1,1,1
1238,1,1,1,1
1239,1,1,1,1
1240,0,1,1,1
1241,1,0,0,1
1242,0,1,1,1
1243,1,1,1,1
1244,1,1,1,1
1245,1,1,1,1
1246,1,1,1,1
1247,0,1,1,1
1248,1,1,1,1
1249,1,1,1,1
1250,1,1,1,1
1251,1,1,1,1
1252,0,1,1,1
1253,0,1,1,1
1254,1,0,0,1
1255,1,0,1,1
1256,1,1,1,1
1257,1,1,1,1
1258,0,1,1,1
1259,1,0,0,1
1260,0,1,1,1
1261,1,1,1,1
1262,1,1,1,1
1263,1,1,1,1
1264,1,0,1,1
1265,1,1,1,1
1266,1,1,1,1
1267,1,1,1,1
1268,1,0,0,1
1269,1,1,1,1
1270,1,1,1,1
1271,1,1,1,1
1272,1,1,1,1
1273,1,1,1,1
1274,1,1,1,1
1275,1,1,1,1
1276,4,0,0,0
1277,2,0,0,0
1278,2,0,0,0
1279,10,0,0,0
1280,9,0,0,0
1281,2,0,0,0
1282,34,0,0,0
1283,1,1,1,0
1284,1,1,1,0
1285,1,1,1,0
1286,2,0,0,0
1287,25,0,0,0
1288,1,1,1,0
1289,1,1,1,0
1290,2,0,0,0
1291,16,0,0,0
1293,63,0,0,0
1294,9,0,0,0
1295,12,0,0,0
1296,1,1,1,0
1297,2,0,0,0
1298,1,1,1,0
1299,2,0,0,0
1300,17,0,0,0
1301,1,1,1,0
1302,2,0,0,0
1303,2,0,0,0
1304,7,0,0,0
1305,4,0,0,0
1306,10,0,0,0
1307,3,0,0,0
1308,1,1,1,0
1309,2,0,0,0
1310,8,0,0,0
1311,2,0,0,0
1312,7,0,0,0
1313,1,1,1,0
1314,1,1,1,0
1315,1,1,1,0
1316,2,0,0,0
1317,1,1,1,0
1318,1,1,1,0
1319,2,0,0,0
1320,5,0,0,0
1321,2,0,0,0
1322,1,1,1,0
1323,1,1,1,0
1324,1,1,1,0
1325,1,1,1,0
1326,2,0,0,0
1327,12,0,0,0
1328,1,1,1,0
1329,1,1,1,0
1330,2,0,0,0
1331,1,1,1,0
1332,9,0,0,0
1333,9,0,0,0
1334,1,2,1,0
1335,1,1,1,0
1336,1,1,1,0
1337,2,0,0,0
1338,1,1,0,0
1339,2,0,0,0
